code,human_n,auto_n,both,human_only,auto_only,raw_agreement,alpha
MORAL_VALENCE,149,68,62,87,6,0.767,0.413
REFLECTIVE,30,60,13,17,47,0.84,0.2
EMOTIONAL,23,3,0,23,3,0.935,-0.032
META_DESIRE,2,8,2,0,6,0.985,0.393
ESSENTIALISM,362,244,236,126,8,0.665,0.089
PERSON_POSITIVITY,43,9,5,38,4,0.895,0.137
ATTITUDE_NOT_SELF,216,17,14,202,3,0.487,-0.24
ANTI_CONDITIONING,44,182,36,8,146,0.615,0.051
CONSISTENCY,145,71,59,86,12,0.755,0.379
TRIVIALITY,106,123,89,17,34,0.873,0.688
AUTHENTICITY_BARE,151,35,33,118,2,0.7,0.16
GROWTH,61,39,32,29,7,0.91,0.589
UNCLEAR,9,11,4,5,7,0.97,0.385
