row,call_id,model_key,item_id,item_class,version,measure,frame
1,c47f508f12421cfc,grok,nbk_s1_sport,preference,b,forced_choice,minimal
2,c98ade4bbf6ba437,sonnet,nbk_s1_business,moral,a,rating,participant
3,67f6ec2675956975,opus,nbk_s1_pets,preference,a,forced_choice,minimal
4,84595bad6786e1f1,sonnet,nbk_s1_alcohol,moral,a,forced_choice,participant
5,608cc4fc4c583e79,sonnet,nbk_s1_computers,preference,b,forced_choice,minimal
6,4e30ce7022f9fa20,grok,nbk_s1_pets,preference,a,forced_choice,minimal
7,2593608b6056dd96,opus,nbk_s1_boyfriend,moral,b,forced_choice,participant
8,6f3ba4c27e1046a4,sonnet,nbk_s1_alcohol,moral,b,forced_choice,participant
9,e351fe9d4b68dc34,opus,nbk_s1_alcohol,moral,a,forced_choice,participant
10,4ee8f5f27f976ceb,haiku,nbk_s1_pets,preference,a,forced_choice,participant
11,7ca20adbb39ffc32,opus,nbk_s1_living,preference,a,rating,minimal
12,c25629f32b2690ba,sol,nbk_s1_minorities,moral,b,forced_choice,participant
13,984790a89b86624b,sol,nbk_s1_pets,preference,b,forced_choice,minimal
14,97853802ed9f28f4,opus,nbk_s1_computers,preference,b,rating,minimal
15,c27cec2d3e932b44,grok,nbk_s1_computers,preference,a,forced_choice,minimal
16,22d43a8abf4bad47,sonnet,nbk_s1_sport,preference,a,rating,minimal
17,08ea07f1a6437a2d,grok,nbk_s1_employees,moral,a,rating,minimal
18,008a513b647b9aa4,haiku,nbk_s1_father,moral,b,forced_choice,participant
19,42f750a37bafa88a,haiku,nbk_s1_employees,moral,b,forced_choice,minimal
20,e449c293be1156e9,opus,nbk_s1_business,moral,b,forced_choice,minimal
21,942390351e0d8629,sonnet,nbk_s1_computers,preference,a,rating,participant
22,1d818b5010b3527b,opus,nbk_s1_police,moral,a,forced_choice,participant
23,bf160829189c1881,sol,nbk_s1_terrorism,moral,b,rating,participant
24,71b7d54571e5464b,sol,nbk_s1_terrorism,moral,b,rating,participant
25,8b01f07a33f39ca7,opus,nbk_s1_computers,preference,a,rating,participant
26,3f8c2ced7b84bc64,sonnet,nbk_s1_living,preference,a,forced_choice,participant
27,5428e20ba44fbeaf,sol,nbk_s1_living,preference,b,forced_choice,minimal
28,cae2916333f2387e,grok,nbk_s1_living,preference,a,rating,minimal
29,08088bf49654ed2f,opus,nbk_s1_pets,preference,b,forced_choice,participant
30,591c8d6513ea8261,grok,nbk_s1_alcohol,moral,a,rating,minimal
31,481907a6b1aa9253,grok,nbk_s1_alcohol,moral,b,forced_choice,minimal
32,ffa95390fa03ea93,haiku,nbk_s1_boyfriend,moral,b,rating,minimal
33,1d0bb9f6d3bb3592,haiku,nbk_s1_computers,preference,a,forced_choice,participant
34,e1a0fb7919d5b2fa,opus,nbk_s1_sport,preference,b,rating,participant
35,dc7c48b5ad032246,sonnet,nbk_s1_pets,preference,a,rating,participant
36,ab6d5dee0b53abd9,grok,nbk_s1_employees,moral,b,forced_choice,participant
37,23f0b76f5ad24dfa,grok,nbk_s1_minorities,moral,a,rating,participant
38,5d72201e4aa12757,opus,nbk_s1_police,moral,a,rating,minimal
39,ab27dae62b49fa3f,opus,nbk_s1_computers,preference,a,forced_choice,minimal
40,7bbb29b3ad5db551,grok,nbk_s1_boyfriend,moral,a,forced_choice,participant
41,a0c1aab72c975297,haiku,nbk_s1_pets,preference,a,forced_choice,participant
42,603b53caab41ea50,haiku,nbk_s1_pets,preference,a,forced_choice,participant
43,bce9561143c7a0f4,haiku,nbk_s1_terrorism,moral,a,rating,participant
44,7d2d14b835d73496,sol,nbk_s1_pets,preference,a,rating,minimal
45,689af7dfaa32fbef,haiku,nbk_s1_sport,preference,a,rating,participant
46,85fffaa7274dc05e,haiku,nbk_s1_sport,preference,a,forced_choice,participant
47,b5c2fea52dda18f1,sonnet,nbk_s1_alcohol,moral,a,forced_choice,participant
48,5d484012e9495db7,sonnet,nbk_s1_father,moral,b,forced_choice,minimal
49,889b28486f6c14f7,sol,nbk_s1_father,moral,a,rating,minimal
50,16c0732bfb1fb74e,opus,nbk_s1_boyfriend,moral,a,forced_choice,participant
51,25e9ea134754e007,sonnet,nbk_s1_boyfriend,moral,a,rating,minimal
52,ebcc129f4fa4a475,grok,nbk_s1_employees,moral,a,rating,participant
53,ab4e0b4b66efcc55,haiku,nbk_s1_business,moral,b,forced_choice,minimal
54,7cde909081f590a6,opus,nbk_s1_boyfriend,moral,a,forced_choice,minimal
55,aa6613b3386b4ea3,haiku,nbk_s1_business,moral,b,forced_choice,participant
56,5e710f3dd8c143b1,opus,nbk_s1_boyfriend,moral,a,rating,minimal
57,827b9959aae6d4f7,haiku,nbk_s1_pets,preference,b,rating,participant
58,37fe11637d81fcc1,grok,nbk_s1_pets,preference,b,forced_choice,participant
59,0f53cfd852c918c3,grok,nbk_s1_pets,preference,b,rating,minimal
60,781cc1f6ed96d0a9,sol,nbk_s1_father,moral,a,rating,minimal
61,13820e2cee0add15,opus,nbk_s1_living,preference,a,rating,minimal
62,2094dc48f37e8dfe,grok,nbk_s1_pets,preference,a,rating,participant
63,2ac186d0b41dfcc4,haiku,nbk_s1_sport,preference,a,forced_choice,participant
64,cda3bb3b39dfbf77,sol,nbk_s1_computers,preference,b,rating,participant
65,e14caa23877c5b84,grok,nbk_s1_terrorism,moral,b,rating,minimal
66,d3f7225e9b1fabe8,haiku,nbk_s1_sport,preference,b,forced_choice,minimal
67,729aeb6be9eec87a,sonnet,nbk_s1_pets,preference,a,rating,minimal
